Repository Command Name,Repository Path,Repository Category,Awesome-Claude-Code Display Name,Original Author,Author GitHub,License,Original Source URL,Awesome-Claude-Code Category,Match Type,Match Confidence,Description,Awesome-Claude-Code ID
check-file,commands/utilities/check-file.md,utilities,/check,rygwdn,https://github.com/rygwdn,NOT_FOUND,https://github.com/rygwdn/slack-tools/blob/main/.claude/commands/check.md,Code Analysis & Testing,partial_match,low,"Performs comprehensive code quality and security checks, featuring static analysis integration, security vulnerability scanning, code style enforcement, and detailed reporting.",cmd-193fe5e1
initref,commands/utilities/initref.md,utilities,/initref,okuvshynov,https://github.com/okuvshynov,MIT,https://github.com/okuvshynov/cubestat/blob/main/.claude/commands/initref.md,Context Loading & Priming,exact_match,high,"Initializes reference documentation structure with standard doc templates, API reference setup, documentation conventions, and placeholder content generation.",cmd-82556482
prime,commands/utilities/prime.md,utilities,/prime,yzyydev,https://github.com/yzyydev,NOT_FOUND,https://github.com/yzyydev/AI-Engineering-Structure/blob/main/.claude/commands/prime.md,Context Loading & Priming,exact_match,high,"Sets up initial project context by viewing directory structure and reading key files, creating standardized context with directory visualization and key documentation focus.",cmd-f4c7bb3c
clean,commands/utilities/clean.md,utilities,/clean,Graphlet-AI,https://github.com/Graphlet-AI,Apache-2.0,https://github.com/Graphlet-AI/eridu/blob/main/.claude/commands/clean.md,Code Analysis & Testing,exact_match,high,"Addresses code formatting and quality issues by fixing black formatting problems, organizing imports with isort, resolving flake8 linting issues, and correcting mypy type errors.",cmd-9944dc47
fix-issue,commands/utilities/fix-issue.md,utilities,/fix-issue,metabase,https://github.com/metabase,NOASSERTION,https://github.com/metabase/metabase/blob/master/.claude/commands/fix-issue.md,Version Control & Git,exact_match,high,"Addresses GitHub issues by taking issue number as parameter, analyzing context, implementing solution, and testing/validating the fix for proper integration.",cmd-85f39721
context-prime,commands/utilities/context-prime.md,utilities,/context-prime,elizaOS,https://github.com/elizaOS,MIT,https://github.com/elizaOS/elizaos.github.io/blob/main/.claude/commands/context-prime.md,Context Loading & Priming,exact_match,high,"Primes Claude with comprehensive project understanding by loading repository structure, setting development context, establishing project goals, and defining collaboration parameters.",cmd-01b57069
refactor-code,commands/utilities/refactor-code.md,utilities,/act,sotayamashita,https://github.com/sotayamashita,MIT,https://github.com/sotayamashita/dotfiles/blob/main/.claude/commands/act.md,Miscellaneous,partial_match,low,"Generates React components with proper accessibility, creating ARIA-compliant components with keyboard navigation that follow React best practices and include comprehensive accessibility testing.",cmd-089f917a
create-pull-request,commands/git-workflow/create-pull-request.md,git-workflow,/create-pull-request,liam-hq,https://github.com/liam-hq,Apache-2.0,https://github.com/liam-hq/liam/blob/main/.claude/commands/create-pull-request.md,Version Control & Git,exact_match,high,"Provides comprehensive PR creation guidance with GitHub CLI, enforcing title conventions, following template structure, and offering concrete command examples with best practices.",cmd-6f066b19
branch-cleanup,commands/git-workflow/branch-cleanup.md,git-workflow,/clean,Graphlet-AI,https://github.com/Graphlet-AI,Apache-2.0,https://github.com/Graphlet-AI/eridu/blob/main/.claude/commands/clean.md,Code Analysis & Testing,partial_match,low,"Addresses code formatting and quality issues by fixing black formatting problems, organizing imports with isort, resolving flake8 linting issues, and correcting mypy type errors.",cmd-9944dc47
create-worktrees,commands/git-workflow/create-worktrees.md,git-workflow,/create-worktrees,evmts,https://github.com/evmts,MIT,https://github.com/evmts/tevm-monorepo/blob/main/.claude/commands/create-worktrees.md,Version Control & Git,exact_match,high,"Creates git worktrees for all open PRs or specific branches, handling branches with slashes, cleaning up stale worktrees, and supporting custom branch creation for development.",cmd-54c60a04
pr-review,commands/git-workflow/pr-review.md,git-workflow,/pr-review,arkavo-org,https://github.com/arkavo-org,MIT,https://github.com/arkavo-org/opentdf-rs/blob/main/.claude/commands/pr-review.md,Version Control & Git,exact_match,high,"Reviews pull request changes to provide feedback, check for issues, and suggest improvements before merging into the main codebase.",cmd-7f51ad4d
fix-github-issue,commands/git-workflow/fix-github-issue.md,git-workflow,/fix-github-issue,jeremymailen,https://github.com/jeremymailen,Apache-2.0,https://github.com/jeremymailen/kotlinter-gradle/blob/master/.claude/commands/fix-github-issue.md,Version Control & Git,exact_match,high,"Analyzes and fixes GitHub issues using a structured approach with GitHub CLI for issue details, implementing necessary code changes, running tests, and creating proper commit messages.",cmd-d39b623d
commit,commands/git-workflow/commit.md,git-workflow,/commit,evmts,https://github.com/evmts,MIT,https://github.com/evmts/tevm-monorepo/blob/main/.claude/commands/commit.md,Version Control & Git,exact_match,high,"Creates git commits using conventional commit format with appropriate emojis, following project standards and creating descriptive messages that explain the purpose of changes.",cmd-b6a797df
create-pr,commands/git-workflow/create-pr.md,git-workflow,/create-pr,toyamarinyon,https://github.com/toyamarinyon,Apache-2.0,https://github.com/toyamarinyon/giselle/blob/main/.claude/commands/create-pr.md,Version Control & Git,exact_match,high,"Streamlines pull request creation by handling the entire workflow: creating a new branch, committing changes, formatting modified files with Biome, and submitting the PR.",cmd-2f41bf88
update-branch-name,commands/git-workflow/update-branch-name.md,git-workflow,/update-branch-name,giselles-ai,https://github.com/giselles-ai,Apache-2.0,https://github.com/giselles-ai/giselle/blob/main/.claude/commands/update-branch-name.md,Version Control & Git,exact_match,high,"Updates branch names with proper prefixes and formats, enforcing naming conventions, supporting semantic prefixes, and managing remote branch updates.",cmd-d32f827c
setup-automated-releases,commands/deployment/setup-automated-releases.md,deployment,/release,kelp,https://github.com/kelp,MIT,https://github.com/kelp/webdown/blob/main/.claude/commands/release.md,CI / Deployment,partial_match,low,"Manages software releases by updating changelogs, reviewing README changes, evaluating version increments, and documenting release changes for better version tracking.",cmd-39a87802
prepare-release,commands/deployment/prepare-release.md,deployment,/release,kelp,https://github.com/kelp,MIT,https://github.com/kelp/webdown/blob/main/.claude/commands/release.md,CI / Deployment,partial_match,low,"Manages software releases by updating changelogs, reviewing README changes, evaluating version increments, and documenting release changes for better version tracking.",cmd-39a87802
optimize-build,commands/performance/optimize-build.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
optimize-database-performance,commands/performance/optimize-database-performance.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
optimize-memory-usage,commands/performance/optimize-memory-usage.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
optimize-bundle-size,commands/performance/optimize-bundle-size.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
optimize-api-performance,commands/performance/optimize-api-performance.md,performance,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
vercel-deploy-optimize,commands/nextjs-vercel/vercel-deploy-optimize.md,nextjs-vercel,/optimize,to4iki,https://github.com/to4iki,MIT,https://github.com/to4iki/ai-project-rules/blob/main/.claude/commands/optimize.md,Code Analysis & Testing,partial_match,low,"Analyzes code performance to identify bottlenecks, proposing concrete optimizations with implementation guidance for improved application performance.",cmd-c76ed84c
memory-spring-cleaning,commands/team/memory-spring-cleaning.md,team,/clean,Graphlet-AI,https://github.com/Graphlet-AI,Apache-2.0,https://github.com/Graphlet-AI/eridu/blob/main/.claude/commands/clean.md,Code Analysis & Testing,partial_match,low,"Addresses code formatting and quality issues by fixing black formatting problems, organizing imports with isort, resolving flake8 linting issues, and correcting mypy type errors.",cmd-9944dc47
act,commands/automation/act.md,automation,/act,sotayamashita,https://github.com/sotayamashita,MIT,https://github.com/sotayamashita/dotfiles/blob/main/.claude/commands/act.md,Miscellaneous,exact_match,high,"Generates React components with proper accessibility, creating ARIA-compliant components with keyboard navigation that follow React best practices and include comprehensive accessibility testing.",cmd-089f917a
husky,commands/automation/husky.md,automation,/husky,evmts,https://github.com/evmts,MIT,https://github.com/evmts/tevm-monorepo/blob/main/.claude/commands/husky.md,Version Control & Git,exact_match,high,"Sets up and manages Husky Git hooks by configuring pre-commit hooks, establishing commit message standards, integrating with linting tools, and ensuring code quality on commits.",cmd-a1042630
release,commands/git/release.md,git,/release,kelp,https://github.com/kelp,MIT,https://github.com/kelp/webdown/blob/main/.claude/commands/release.md,CI / Deployment,exact_match,high,"Manages software releases by updating changelogs, reviewing README changes, evaluating version increments, and documenting release changes for better version tracking.",cmd-39a87802
testing_plan_integration,commands/testing/testing_plan_integration.md,testing,/testing_plan_integration,buster-so,https://github.com/buster-so,NOASSERTION,https://github.com/buster-so/buster/blob/main/api/.claude/commands/testing_plan_integration.md,Code Analysis & Testing,exact_match,high,"Creates inline Rust-style tests, suggests refactoring for testability, analyzes code challenges, and creates comprehensive test coverage for robust code.",cmd-7991e9fb
create-prd,commands/project-management/create-prd.md,project-management,/create-prd,taddyorg,https://github.com/taddyorg,AGPL-3.0,https://github.com/taddyorg/inkverse/blob/main/.claude/commands/create-prd.md,Project & Task Management,exact_match,high,"Generates comprehensive product requirement documents outlining detailed specifications, requirements, and features following standardized document structure and format.",cmd-0420f9cb
create-jtbd,commands/project-management/create-jtbd.md,project-management,/create-jtbd,taddyorg,https://github.com/taddyorg,AGPL-3.0,https://github.com/taddyorg/inkverse/blob/main/.claude/commands/create-jtbd.md,Project & Task Management,exact_match,high,"Creates Jobs-to-be-Done frameworks that outline user needs with structured format, focusing on specific user problems and organizing by job categories for product development.",cmd-15eb4d26
project-health-check,commands/project-management/project-health-check.md,project-management,/check,rygwdn,https://github.com/rygwdn,NOT_FOUND,https://github.com/rygwdn/slack-tools/blob/main/.claude/commands/check.md,Code Analysis & Testing,partial_match,low,"Performs comprehensive code quality and security checks, featuring static analysis integration, security vulnerability scanning, code style enforcement, and detailed reporting.",cmd-193fe5e1
add-to-changelog,commands/project-management/add-to-changelog.md,project-management,/add-to-changelog,berrydev-ai,https://github.com/berrydev-ai,MIT,https://github.com/berrydev-ai/blockdoc-python/blob/main/.claude/commands/add-to-changelog.md,Documentation & Changelogs,exact_match,high,"Adds new entries to changelog files while maintaining format consistency, properly documenting changes, and following established project standards for version tracking.",cmd-989ec43f
release,commands/project-management/release.md,project-management,/release,kelp,https://github.com/kelp,MIT,https://github.com/kelp/webdown/blob/main/.claude/commands/release.md,CI / Deployment,exact_match,high,"Manages software releases by updating changelogs, reviewing README changes, evaluating version increments, and documenting release changes for better version tracking.",cmd-39a87802
create-prp,commands/project-management/create-prp.md,project-management,/create-prp,Wirasm,https://github.com/Wirasm,MIT,https://github.com/Wirasm/claudecode-utils/blob/main/.claude/commands/create-prp.md,Project & Task Management,exact_match,high,"Creates product requirement plans by reading PRP methodology, following template structure, creating comprehensive requirements, and structuring product definitions for development.",cmd-ec48035a
todo,commands/project-management/todo.md,project-management,/todo,chrisleyva,https://github.com/chrisleyva,MIT,https://github.com/chrisleyva/todo-slash-command/blob/main/todo.md,Project & Task Management,exact_match,high,"A convenient command to quickly manage project todo items without leaving the Claude Code interface, featuring due dates, sorting, task prioritization, and comprehensive todo list management.",cmd-1bc55517
resume,commands/orchestration/resume.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
remove,commands/orchestration/remove.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
archive,commands/orchestration/archive.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
move,commands/orchestration/move.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync,commands/orchestration/sync.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
status,commands/orchestration/status.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
report,commands/orchestration/report.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
find,commands/orchestration/find.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
start,commands/orchestration/start.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-mock,commands/svelte/svelte-storybook-mock.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-a11y,commands/svelte/svelte-a11y.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-test-setup,commands/svelte/svelte-test-setup.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-test,commands/svelte/svelte-test.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-scaffold,commands/svelte/svelte-scaffold.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-story,commands/svelte/svelte-storybook-story.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook,commands/svelte/svelte-storybook.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-troubleshoot,commands/svelte/svelte-storybook-troubleshoot.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-setup,commands/svelte/svelte-storybook-setup.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-component,commands/svelte/svelte-component.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-test-coverage,commands/svelte/svelte-test-coverage.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-migrate,commands/svelte/svelte-storybook-migrate.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-debug,commands/svelte/svelte-debug.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-test-fix,commands/svelte/svelte-test-fix.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-migrate,commands/svelte/svelte-migrate.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
penetration-test,commands/security/penetration-test.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
secrets-scanner,commands/security/secrets-scanner.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
security-audit,commands/security/security-audit.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
security-hardening,commands/security/security-hardening.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
dependency-audit,commands/security/dependency-audit.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
add-authentication-system,commands/security/add-authentication-system.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
generate-api-documentation,commands/documentation/generate-api-documentation.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
migration-guide,commands/documentation/migration-guide.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
create-architecture-documentation,commands/documentation/create-architecture-documentation.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
troubleshooting-guide,commands/documentation/troubleshooting-guide.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
create-onboarding-guide,commands/documentation/create-onboarding-guide.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
doc-api,commands/documentation/doc-api.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
game-analytics-integration,commands/game-development/game-analytics-integration.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
game-asset-pipeline,commands/game-development/game-asset-pipeline.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
game-performance-profiler,commands/game-development/game-performance-profiler.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
unity-project-setup,commands/game-development/unity-project-setup.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
game-testing-framework,commands/game-development/game-testing-framework.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-realtime-monitor,commands/database/supabase-realtime-monitor.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-migration-assistant,commands/database/supabase-migration-assistant.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-data-explorer,commands/database/supabase-data-explorer.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-schema-sync,commands/database/supabase-schema-sync.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-backup-manager,commands/database/supabase-backup-manager.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-type-generator,commands/database/supabase-type-generator.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-security-audit,commands/database/supabase-security-audit.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
code-to-task,commands/utilities/code-to-task.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
explain-code,commands/utilities/explain-code.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
git-status,commands/utilities/git-status.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
code-permutation-tester,commands/utilities/code-permutation-tester.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
generate-linear-worklog,commands/utilities/generate-linear-worklog.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
ultra-think,commands/utilities/ultra-think.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
code-review,commands/utilities/code-review.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
debug-error,commands/utilities/debug-error.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
directory-deep-dive,commands/utilities/directory-deep-dive.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
all-tools,commands/utilities/all-tools.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
architecture-scenario-explorer,commands/utilities/architecture-scenario-explorer.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
gemini-review,commands/git-workflow/gemini-review.md,git-workflow,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
git-bisect-helper,commands/git-workflow/git-bisect-helper.md,git-workflow,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-health-monitor,commands/sync/sync-health-monitor.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
bulk-import-issues,commands/sync/bulk-import-issues.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
cross-reference-manager,commands/sync/cross-reference-manager.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-pr-to-task,commands/sync/sync-pr-to-task.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
linear-task-to-issue,commands/sync/linear-task-to-issue.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
bidirectional-sync,commands/sync/bidirectional-sync.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-migration-assistant,commands/sync/sync-migration-assistant.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-automation-setup,commands/sync/sync-automation-setup.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
task-from-pr,commands/sync/task-from-pr.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-linear-to-issues,commands/sync/sync-linear-to-issues.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-issues-to-linear,commands/sync/sync-issues-to-linear.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-status,commands/sync/sync-status.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-conflict-resolver,commands/sync/sync-conflict-resolver.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
issue-to-linear-task,commands/sync/issue-to-linear-task.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
hotfix-deploy,commands/deployment/hotfix-deploy.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
ci-setup,commands/deployment/ci-setup.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
deployment-monitoring,commands/deployment/deployment-monitoring.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
blue-green-deployment,commands/deployment/blue-green-deployment.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
rollback-deploy,commands/deployment/rollback-deploy.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-kubernetes-deployment,commands/deployment/setup-kubernetes-deployment.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
changelog-demo-command,commands/deployment/changelog-demo-command.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
containerize-application,commands/deployment/containerize-application.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
add-changelog,commands/deployment/add-changelog.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
create-database-migrations,commands/setup/create-database-migrations.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-docker-containers,commands/setup/setup-docker-containers.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-linting,commands/setup/setup-linting.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-monorepo,commands/setup/setup-monorepo.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
update-dependencies,commands/setup/update-dependencies.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
migrate-to-typescript,commands/setup/migrate-to-typescript.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-ci-cd-pipeline,commands/setup/setup-ci-cd-pipeline.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-monitoring-observability,commands/setup/setup-monitoring-observability.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
