Repository Command Name,Repository Path,Repository Category,Awesome-Claude-Code Display Name,Original Author,Author GitHub,License,Original Source URL,Awesome-Claude-Code Category,Match Type,Match Confidence,Description,Awesome-Claude-Code ID
memory-spring-cleaning,commands/team/memory-spring-cleaning.md,team,/clean,Graphlet-AI,https://github.com/Graphlet-AI,Apache-2.0,https://github.com/Graphlet-AI/eridu/blob/main/.claude/commands/clean.md,Code Analysis & Testing,partial_match,low,"Addresses code formatting and quality issues by fixing black formatting problems, organizing imports with isort, resolving flake8 linting issues, and correcting mypy type errors.",cmd-9944dc47
project-health-check,commands/project-management/project-health-check.md,project-management,/check,rygwdn,https://github.com/rygwdn,NOT_FOUND,https://github.com/rygwdn/slack-tools/blob/main/.claude/commands/check.md,Code Analysis & Testing,partial_match,low,"Performs comprehensive code quality and security checks, featuring static analysis integration, security vulnerability scanning, code style enforcement, and detailed reporting.",cmd-193fe5e1
resume,commands/orchestration/resume.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
remove,commands/orchestration/remove.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
archive,commands/orchestration/archive.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
move,commands/orchestration/move.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync,commands/orchestration/sync.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
status,commands/orchestration/status.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
report,commands/orchestration/report.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
find,commands/orchestration/find.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
start,commands/orchestration/start.md,orchestration,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-mock,commands/svelte/svelte-storybook-mock.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-a11y,commands/svelte/svelte-a11y.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-test-setup,commands/svelte/svelte-test-setup.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-test,commands/svelte/svelte-test.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-scaffold,commands/svelte/svelte-scaffold.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-story,commands/svelte/svelte-storybook-story.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook,commands/svelte/svelte-storybook.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-troubleshoot,commands/svelte/svelte-storybook-troubleshoot.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-setup,commands/svelte/svelte-storybook-setup.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-component,commands/svelte/svelte-component.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-test-coverage,commands/svelte/svelte-test-coverage.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-storybook-migrate,commands/svelte/svelte-storybook-migrate.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-debug,commands/svelte/svelte-debug.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-test-fix,commands/svelte/svelte-test-fix.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
svelte-migrate,commands/svelte/svelte-migrate.md,svelte,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
penetration-test,commands/security/penetration-test.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
secrets-scanner,commands/security/secrets-scanner.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
security-audit,commands/security/security-audit.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
security-hardening,commands/security/security-hardening.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
dependency-audit,commands/security/dependency-audit.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
add-authentication-system,commands/security/add-authentication-system.md,security,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
generate-api-documentation,commands/documentation/generate-api-documentation.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
migration-guide,commands/documentation/migration-guide.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
create-architecture-documentation,commands/documentation/create-architecture-documentation.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
troubleshooting-guide,commands/documentation/troubleshooting-guide.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
create-onboarding-guide,commands/documentation/create-onboarding-guide.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
doc-api,commands/documentation/doc-api.md,documentation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
game-analytics-integration,commands/game-development/game-analytics-integration.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
game-asset-pipeline,commands/game-development/game-asset-pipeline.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
game-performance-profiler,commands/game-development/game-performance-profiler.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
unity-project-setup,commands/game-development/unity-project-setup.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
game-testing-framework,commands/game-development/game-testing-framework.md,game-development,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-realtime-monitor,commands/database/supabase-realtime-monitor.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-migration-assistant,commands/database/supabase-migration-assistant.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-data-explorer,commands/database/supabase-data-explorer.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-schema-sync,commands/database/supabase-schema-sync.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-backup-manager,commands/database/supabase-backup-manager.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-type-generator,commands/database/supabase-type-generator.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
supabase-security-audit,commands/database/supabase-security-audit.md,database,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
code-to-task,commands/utilities/code-to-task.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
explain-code,commands/utilities/explain-code.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
git-status,commands/utilities/git-status.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
code-permutation-tester,commands/utilities/code-permutation-tester.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
generate-linear-worklog,commands/utilities/generate-linear-worklog.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
ultra-think,commands/utilities/ultra-think.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
code-review,commands/utilities/code-review.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
debug-error,commands/utilities/debug-error.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
directory-deep-dive,commands/utilities/directory-deep-dive.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
all-tools,commands/utilities/all-tools.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
architecture-scenario-explorer,commands/utilities/architecture-scenario-explorer.md,utilities,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
gemini-review,commands/git-workflow/gemini-review.md,git-workflow,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
git-bisect-helper,commands/git-workflow/git-bisect-helper.md,git-workflow,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-health-monitor,commands/sync/sync-health-monitor.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
bulk-import-issues,commands/sync/bulk-import-issues.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
cross-reference-manager,commands/sync/cross-reference-manager.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-pr-to-task,commands/sync/sync-pr-to-task.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
linear-task-to-issue,commands/sync/linear-task-to-issue.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
bidirectional-sync,commands/sync/bidirectional-sync.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-migration-assistant,commands/sync/sync-migration-assistant.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-automation-setup,commands/sync/sync-automation-setup.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
task-from-pr,commands/sync/task-from-pr.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-linear-to-issues,commands/sync/sync-linear-to-issues.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-issues-to-linear,commands/sync/sync-issues-to-linear.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-status,commands/sync/sync-status.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sync-conflict-resolver,commands/sync/sync-conflict-resolver.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
issue-to-linear-task,commands/sync/issue-to-linear-task.md,sync,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
hotfix-deploy,commands/deployment/hotfix-deploy.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
ci-setup,commands/deployment/ci-setup.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
deployment-monitoring,commands/deployment/deployment-monitoring.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
blue-green-deployment,commands/deployment/blue-green-deployment.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
rollback-deploy,commands/deployment/rollback-deploy.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-kubernetes-deployment,commands/deployment/setup-kubernetes-deployment.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
changelog-demo-command,commands/deployment/changelog-demo-command.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
containerize-application,commands/deployment/containerize-application.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
add-changelog,commands/deployment/add-changelog.md,deployment,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
create-database-migrations,commands/setup/create-database-migrations.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-docker-containers,commands/setup/setup-docker-containers.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-linting,commands/setup/setup-linting.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-monorepo,commands/setup/setup-monorepo.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
update-dependencies,commands/setup/update-dependencies.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
migrate-to-typescript,commands/setup/migrate-to-typescript.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-ci-cd-pipeline,commands/setup/setup-ci-cd-pipeline.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-monitoring-observability,commands/setup/setup-monitoring-observability.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-rate-limiting,commands/setup/setup-rate-limiting.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-formatting,commands/setup/setup-formatting.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
design-rest-api,commands/setup/design-rest-api.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
design-database-schema,commands/setup/design-database-schema.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-development-environment,commands/setup/setup-development-environment.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
implement-graphql-api,commands/setup/implement-graphql-api.md,setup,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
add-performance-monitoring,commands/performance/add-performance-monitoring.md,performance,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-cdn-optimization,commands/performance/setup-cdn-optimization.md,performance,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
system-behavior-simulator,commands/performance/system-behavior-simulator.md,performance,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
performance-audit,commands/performance/performance-audit.md,performance,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
implement-caching-strategy,commands/performance/implement-caching-strategy.md,performance,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
business-scenario-explorer,commands/simulation/business-scenario-explorer.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
timeline-compressor,commands/simulation/timeline-compressor.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
digital-twin-creator,commands/simulation/digital-twin-creator.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
constraint-modeler,commands/simulation/constraint-modeler.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
simulation-calibrator,commands/simulation/simulation-calibrator.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
decision-tree-explorer,commands/simulation/decision-tree-explorer.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
monte-carlo-simulator,commands/simulation/monte-carlo-simulator.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
future-scenario-generator,commands/simulation/future-scenario-generator.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
system-dynamics-modeler,commands/simulation/system-dynamics-modeler.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
market-response-modeler,commands/simulation/market-response-modeler.md,simulation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
nextjs-component-generator,commands/nextjs-vercel/nextjs-component-generator.md,nextjs-vercel,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
nextjs-api-tester,commands/nextjs-vercel/nextjs-api-tester.md,nextjs-vercel,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
vercel-edge-function,commands/nextjs-vercel/vercel-edge-function.md,nextjs-vercel,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
nextjs-migration-helper,commands/nextjs-vercel/nextjs-migration-helper.md,nextjs-vercel,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
nextjs-performance-audit,commands/nextjs-vercel/nextjs-performance-audit.md,nextjs-vercel,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
nextjs-bundle-analyzer,commands/nextjs-vercel/nextjs-bundle-analyzer.md,nextjs-vercel,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
nextjs-middleware-creator,commands/nextjs-vercel/nextjs-middleware-creator.md,nextjs-vercel,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
nextjs-scaffold,commands/nextjs-vercel/nextjs-scaffold.md,nextjs-vercel,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
vercel-env-sync,commands/nextjs-vercel/vercel-env-sync.md,nextjs-vercel,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
standup-report,commands/team/standup-report.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
estimate-assistant,commands/team/estimate-assistant.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
migration-assistant,commands/team/migration-assistant.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
sprint-planning,commands/team/sprint-planning.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
dependency-mapper,commands/team/dependency-mapper.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
architecture-review,commands/team/architecture-review.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
team-workload-balancer,commands/team/team-workload-balancer.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
team-knowledge-mapper,commands/team/team-knowledge-mapper.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
issue-triage,commands/team/issue-triage.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
session-learning-capture,commands/team/session-learning-capture.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
team-velocity-tracker,commands/team/team-velocity-tracker.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
decision-quality-analyzer,commands/team/decision-quality-analyzer.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
retrospective-analyzer,commands/team/retrospective-analyzer.md,team,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
ci-pipeline,commands/automation/ci-pipeline.md,automation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
workflow-orchestrator,commands/automation/workflow-orchestrator.md,automation,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
finish,commands/git/finish.md,git,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
feature,commands/git/feature.md,git,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
flow-status,commands/git/flow-status.md,git,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
hotfix,commands/git/hotfix.md,git,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
e2e-setup,commands/testing/e2e-setup.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
test-quality-analyzer,commands/testing/test-quality-analyzer.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
add-property-based-testing,commands/testing/add-property-based-testing.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
add-mutation-testing,commands/testing/add-mutation-testing.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-visual-testing,commands/testing/setup-visual-testing.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
generate-test-cases,commands/testing/generate-test-cases.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
test-changelog-automation,commands/testing/test-changelog-automation.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
write-tests,commands/testing/write-tests.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
test-coverage,commands/testing/test-coverage.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
test-automation-orchestrator,commands/testing/test-automation-orchestrator.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
generate-tests,commands/testing/generate-tests.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
setup-load-testing,commands/testing/setup-load-testing.md,testing,NOT FOUND,Unknown (not from awesome-claude-code),,Unknown,,,no_match,none,,
